"","X","dm","gdr","smk","age","sbp","chl","refv","AFR_D","AFR_E","AMR_A","AMR_B","AMR_D","EMR_B","EMR_D","EUR_A","EUR_B","EUR_C","SEAR_B","SEAR_D","WPR_B","WPR_A"
"679",679,1,0,0,50,160,0,500101600,"<10%","<10%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","<10%","10% to <20%","20% to <30%","<10%","<10%"
"680",680,1,0,0,50,180,0,500101800,"30% to <40%","30% to <40%",">=40%",">=40%",">=40%",">=40%","30% to <40%","10% to <20%","20% to <30%","30% to <40%",">=40%",">=40%","30% to <40%","20% to <30%"
"681",681,1,0,0,60,120,0,600101200,"<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"682",682,1,0,0,60,140,0,600101400,"<10%","<10%","10% to <20%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","<10%","10% to <20%","20% to <30%","<10%","<10%"
"683",683,1,0,0,60,160,0,600101600,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","30% to <40%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","20% to <30%",">=40%","10% to <20%","10% to <20%"
"684",684,1,0,0,60,180,0,600101800,">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%"
"685",685,1,0,0,70,120,0,700101200,"<10%","<10%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","<10%","20% to <30%","<10%","<10%"
"686",686,1,0,0,70,140,0,700101400,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","30% to <40%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","30% to <40%","10% to <20%","10% to <20%"
"687",687,1,0,0,70,160,0,700101600,"20% to <30%","20% to <30%","30% to <40%","30% to <40%","30% to <40%",">=40%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","20% to <30%",">=40%","20% to <30%","20% to <30%"
"688",688,1,0,0,70,180,0,700101800,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"689",689,1,0,1,40,120,0,400111200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"690",690,1,0,1,40,140,0,400111400,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"691",691,1,0,1,40,160,0,400111600,"<10%","<10%","20% to <30%","30% to <40%","20% to <30%","<10%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","<10%","10% to <20%"
"692",692,1,0,1,40,180,0,400111800,"30% to <40%","20% to <30%",">=40%",">=40%",">=40%","20% to <30%",">=40%","20% to <30%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%"
"693",693,1,0,1,50,120,0,500111200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"694",694,1,0,1,50,140,0,500111400,"<10%","<10%","<10%","10% to <20%","<10%","10% to <20%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"695",695,1,0,1,50,160,0,500111600,"10% to <20%","10% to <20%","20% to <30%","30% to <40%","20% to <30%","20% to <30%","20% to <30%","<10%","10% to <20%","10% to <20%","20% to <30%",">=40%","10% to <20%","10% to <20%"
"696",696,1,0,1,50,180,0,500111800,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"697",697,1,0,1,60,120,0,600111200,"<10%","<10%","10% to <20%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","<10%","10% to <20%","30% to <40%","<10%","<10%"
"698",698,1,0,1,60,140,0,600111400,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","30% to <40%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","20% to <30%",">=40%","10% to <20%","10% to <20%"
"699",699,1,0,1,60,160,0,600111600,"30% to <40%","20% to <30%","30% to <40%","30% to <40%","30% to <40%",">=40%",">=40%","20% to <30%","20% to <30%","30% to <40%",">=40%",">=40%","30% to <40%","20% to <30%"
"700",700,1,0,1,60,180,0,600111800,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"701",701,1,0,1,70,120,0,700111200,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","30% to <40%","10% to <20%","10% to <20%"
"702",702,1,0,1,70,140,0,700111400,"20% to <30%","20% to <30%","30% to <40%","30% to <40%","30% to <40%",">=40%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","20% to <30%",">=40%","20% to <30%","20% to <30%"
"703",703,1,0,1,70,160,0,700111600,">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%","30% to <40%"
"704",704,1,0,1,70,180,0,700111800,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"705",705,0,1,0,40,120,0,401001200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"706",706,0,1,0,40,140,0,401001400,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"707",707,0,1,0,40,160,0,401001600,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"708",708,0,1,0,40,180,0,401001800,"10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"709",709,0,1,0,50,120,0,501001200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"710",710,0,1,0,50,140,0,501001400,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"711",711,0,1,0,50,160,0,501001600,"<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"712",712,0,1,0,50,180,0,501001800,"10% to <20%","10% to <20%","30% to <40%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","20% to <30%"
"713",713,0,1,0,60,120,0,601001200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"714",714,0,1,0,60,140,0,601001400,"<10%","<10%","10% to <20%","<10%","<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"715",715,0,1,0,60,160,0,601001600,"<10%","<10%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"716",716,0,1,0,60,180,0,601001800,"20% to <30%","20% to <30%",">=40%","30% to <40%","20% to <30%",">=40%",">=40%","20% to <30%","30% to <40%",">=40%","20% to <30%",">=40%",">=40%","20% to <30%"
"717",717,0,1,0,70,120,0,701001200,"<10%","<10%","10% to <20%","<10%","<10%","<10%","10% to <20%","<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%"
"718",718,0,1,0,70,140,0,701001400,"<10%","<10%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","<10%"
"719",719,0,1,0,70,160,0,701001600,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","20% to <30%","10% to <20%","20% to <30%","10% to <20%","20% to <30%","20% to <30%","10% to <20%"
"720",720,0,1,0,70,180,0,701001800,"20% to <30%","20% to <30%",">=40%","30% to <40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%",">=40%","20% to <30%",">=40%",">=40%","30% to <40%"
"721",721,0,1,1,40,120,0,401011200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"722",722,0,1,1,40,140,0,401011400,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"723",723,0,1,1,40,160,0,401011600,"<10%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"724",724,0,1,1,40,180,0,401011800,"20% to <30%","30% to <40%","30% to <40%",">=40%","20% to <30%","20% to <30%","30% to <40%","10% to <20%","20% to <30%","20% to <30%","30% to <40%","30% to <40%","30% to <40%","20% to <30%"
"725",725,0,1,1,50,120,0,501011200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"726",726,0,1,1,50,140,0,501011400,"<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"727",727,0,1,1,50,160,0,501011600,"<10%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"728",728,0,1,1,50,180,0,501011800,"30% to <40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%","20% to <30%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"729",729,0,1,1,60,120,0,601011200,"<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"730",730,0,1,1,60,140,0,601011400,"<10%","<10%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","<10%","20% to <30%","10% to <20%","<10%"
"731",731,0,1,1,60,160,0,601011600,"10% to <20%","10% to <20%","30% to <40%","20% to <30%","10% to <20%","20% to <30%","30% to <40%","10% to <20%","10% to <20%","30% to <40%","10% to <20%","30% to <40%","20% to <30%","10% to <20%"
"732",732,0,1,1,60,180,0,601011800,">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"733",733,0,1,1,70,120,0,701011200,"<10%","<10%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","<10%","10% to <20%","10% to <20%","<10%"
"734",734,0,1,1,70,140,0,701011400,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","20% to <30%","20% to <30%","10% to <20%"
"735",735,0,1,1,70,160,0,701011600,"20% to <30%","10% to <20%",">=40%","20% to <30%","20% to <30%","30% to <40%",">=40%","30% to <40%","20% to <30%",">=40%","20% to <30%","30% to <40%","30% to <40%","20% to <30%"
"736",736,0,1,1,70,180,0,701011800,">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"737",737,0,0,0,40,120,0,400001200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"738",738,0,0,0,40,140,0,400001400,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"739",739,0,0,0,40,160,0,400001600,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"740",740,0,0,0,40,180,0,400001800,"10% to <20%","10% to <20%","20% to <30%","30% to <40%","20% to <30%","<10%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"741",741,0,0,0,50,120,0,500001200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"742",742,0,0,0,50,140,0,500001400,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"743",743,0,0,0,50,160,0,500001600,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"744",744,0,0,0,50,180,0,500001800,"10% to <20%","10% to <20%","20% to <30%","30% to <40%","20% to <30%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","30% to <40%","20% to <30%","10% to <20%"
"745",745,0,0,0,60,120,0,600001200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"746",746,0,0,0,60,140,0,600001400,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"747",747,0,0,0,60,160,0,600001600,"<10%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","<10%","10% to <20%","20% to <30%","<10%","<10%"
"748",748,0,0,0,60,180,0,600001800,"20% to <30%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","30% to <40%","30% to <40%","10% to <20%","20% to <30%","20% to <30%","20% to <30%",">=40%","20% to <30%","10% to <20%"
"749",749,0,0,0,70,120,0,700001200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"750",750,0,0,0,70,140,0,700001400,"<10%","<10%","10% to <20%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"751",751,0,0,0,70,160,0,700001600,"10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"752",752,0,0,0,70,180,0,700001800,"30% to <40%","20% to <30%","30% to <40%","30% to <40%","30% to <40%",">=40%","30% to <40%","30% to <40%","30% to <40%",">=40%","20% to <30%",">=40%","30% to <40%","20% to <30%"
"753",753,0,0,1,40,120,0,400011200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"754",754,0,0,1,40,140,0,400011400,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"755",755,0,0,1,40,160,0,400011600,"<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"756",756,0,0,1,40,180,0,400011800,"10% to <20%","20% to <30%",">=40%",">=40%","20% to <30%","10% to <20%","20% to <30%","10% to <20%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","30% to <40%","20% to <30%"
"757",757,0,0,1,50,120,0,500011200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"758",758,0,0,1,50,140,0,500011400,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"759",759,0,0,1,50,160,0,500011600,"<10%","<10%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","<10%","10% to <20%","20% to <30%","<10%","<10%"
"760",760,0,0,1,50,180,0,500011800,"20% to <30%","30% to <40%",">=40%",">=40%",">=40%",">=40%","30% to <40%","10% to <20%","30% to <40%","30% to <40%",">=40%",">=40%","30% to <40%","30% to <40%"
"761",761,0,0,1,60,120,0,600011200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"762",762,0,0,1,60,140,0,600011400,"<10%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","<10%","10% to <20%","20% to <30%","<10%","<10%"
"763",763,0,0,1,60,160,0,600011600,"10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","20% to <30%",">=40%","10% to <20%","10% to <20%"
"764",764,0,0,1,60,180,0,600011800,">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%"
"765",765,0,0,1,70,120,0,700011200,"<10%","<10%","10% to <20%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"766",766,0,0,1,70,140,0,700011400,"10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"767",767,0,0,1,70,160,0,700011600,"20% to <30%","10% to <20%","20% to <30%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","20% to <30%","10% to <20%","20% to <30%","20% to <30%",">=40%","20% to <30%","10% to <20%"
"768",768,0,0,1,70,180,0,700011800,">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%"
