"","X","dm","gdr","smk","age","sbp","chl","refv","AFR_D","AFR_E","AMR_A","AMR_B","AMR_D","EMR_B","EMR_D","EUR_A","EUR_B","EUR_C","SEAR_B","SEAR_D","WPR_B","WPR_A"
"577",577,0,1,0,40,180,5,401001805,"20% to <30%","20% to <30%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%"
"578",578,0,1,0,40,180,6,401001806,"30% to <40%","30% to <40%","30% to <40%","30% to <40%","20% to <30%","10% to <20%","20% to <30%","<10%","20% to <30%","20% to <30%","20% to <30%","30% to <40%","30% to <40%","20% to <30%"
"579",579,0,1,0,40,180,7,401001807,">=40%",">=40%",">=40%",">=40%","30% to <40%","20% to <30%","30% to <40%","10% to <20%","30% to <40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%"
"580",580,0,1,0,40,180,8,401001808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"581",581,0,1,0,50,120,4,501001204,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"582",582,0,1,0,50,120,5,501001205,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"583",583,0,1,0,50,120,6,501001206,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"584",584,0,1,0,50,120,7,501001207,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"585",585,0,1,0,50,120,8,501001208,"<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"586",586,0,1,0,50,140,4,501001404,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"587",587,0,1,0,50,140,5,501001405,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"588",588,0,1,0,50,140,6,501001406,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"589",589,0,1,0,50,140,7,501001407,"<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"590",590,0,1,0,50,140,8,501001408,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"591",591,0,1,0,50,160,4,501001604,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"592",592,0,1,0,50,160,5,501001605,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
