"dm","gdr","smk","age","sbp","chl","refv","N_AFR_ME","CSS_AFR","ESS_AFR","SSS_AFR","WSS_AFR","SN_LAT_AME","HI_N_AME","CAR","AND_LAT_AME","CEN_LAT_AME","TRO_LAT_AME","EAS_ASI","SOU_ASI","SE_ASI","CEN_ASI","HI_ASI_PAC","WES_EUR","CEN_EUR","EAS_EUR","OCE","AUS"
0,1,0,"50-54","160-179","5-5.9","50-54_1_0_0_160-179_5-5.9",14,8,8,7,7,9,11,7,6,6,7,11,8,8,11,9,9,10,14,9,10
0,1,0,"50-54","140-159","5-5.9","50-54_1_0_0_140-159_5-5.9",10,6,6,5,5,7,9,5,5,5,5,8,6,6,8,7,7,7,11,7,8
0,1,0,"50-54","120-139","5-5.9","50-54_1_0_0_120-139_5-5.9",8,4,4,4,4,5,7,4,3,4,4,5,5,4,5,5,5,5,9,5,6
0,1,0,"50-54","<120","5-5.9","50-54_1_0_0_<120_5-5.9",6,3,3,3,3,4,5,3,3,3,3,4,4,3,4,4,4,4,7,4,5
0,1,0,"45-49",">=180","5-5.9","45-49_1_0_0_>=180_5-5.9",14,8,8,7,8,9,12,8,6,7,7,11,8,8,11,9,9,10,15,10,10
0,1,0,"45-49","160-179","5-5.9","45-49_1_0_0_160-179_5-5.9",10,6,6,5,6,7,9,6,5,5,5,8,6,6,8,7,7,7,11,7,8
0,1,0,"45-49","140-159","5-5.9","45-49_1_0_0_140-159_5-5.9",8,4,4,4,4,5,7,4,3,4,4,6,5,4,5,5,5,5,9,5,6
0,1,0,"45-49","120-139","5-5.9","45-49_1_0_0_120-139_5-5.9",6,3,3,3,3,4,5,3,3,3,3,4,4,3,3,4,4,3,7,4,4
0,1,0,"45-49","<120","5-5.9","45-49_1_0_0_<120_5-5.9",4,2,2,2,2,3,4,2,2,2,2,3,3,2,2,3,3,2,5,3,3
0,1,0,"40-44",">=180","5-5.9","40-44_1_0_0_>=180_5-5.9",11,6,6,6,6,7,9,6,5,5,6,9,7,6,8,7,7,8,12,8,8
0,1,0,"40-44","160-179","5-5.9","40-44_1_0_0_160-179_5-5.9",8,5,4,4,4,5,7,4,4,4,4,6,5,4,5,6,5,5,9,6,6
0,1,0,"40-44","140-159","5-5.9","40-44_1_0_0_140-159_5-5.9",6,3,3,3,3,4,5,3,3,3,3,4,4,3,4,4,4,3,7,4,4
0,1,0,"40-44","120-139","5-5.9","40-44_1_0_0_120-139_5-5.9",4,2,2,2,2,3,4,2,2,2,2,3,3,2,2,3,3,2,5,3,3
0,1,0,"40-44","<120","5-5.9","40-44_1_0_0_<120_5-5.9",3,2,2,2,2,2,3,2,1,1,2,2,2,1,1,2,2,2,4,2,3
0,1,0,"70-74",">=180","6-6.9","70-74_1_0_0_>=180_6-6.9",46,30,29,28,29,31,36,29,22,25,23,40,30,32,65,26,36,44,45,29,34
0,1,0,"70-74","160-179","6-6.9","70-74_1_0_0_160-179_6-6.9",40,25,24,23,24,26,31,24,18,21,19,33,25,26,53,22,30,37,38,25,28
0,1,0,"70-74","140-159","6-6.9","70-74_1_0_0_140-159_6-6.9",34,21,20,19,20,22,26,20,15,17,16,27,21,21,43,19,25,30,33,21,24
