"dm","gdr","smk","age","sbp","chl","refv","N_AFR_ME","CSS_AFR","ESS_AFR","SSS_AFR","WSS_AFR","SN_LAT_AME","HI_N_AME","CAR","AND_LAT_AME","CEN_LAT_AME","TRO_LAT_AME","EAS_ASI","SOU_ASI","SE_ASI","CEN_ASI","HI_ASI_PAC","WES_EUR","CEN_EUR","EAS_EUR","OCE","AUS"
0,1,1,"40-44","140-159","<4","40-44_1_0_1_140-159_<4",8,5,5,4,4,5,7,4,4,4,4,6,5,4,5,6,5,5,9,6,6
0,1,1,"40-44","120-139","<4","40-44_1_0_1_120-139_<4",6,3,3,3,3,4,5,3,3,3,3,4,4,3,4,4,4,4,7,4,4
0,1,1,"40-44","<120","<4","40-44_1_0_1_<120_<4",4,2,2,2,2,3,4,2,2,2,2,3,3,2,2,3,3,2,5,3,3
0,1,1,"70-74",">=180","4-4.9","70-74_1_0_1_>=180_4-4.9",48,31,30,29,30,32,38,30,23,26,24,43,31,33,66,27,37,47,46,31,35
0,1,1,"70-74","160-179","4-4.9","70-74_1_0_1_160-179_4-4.9",41,26,25,24,25,27,32,25,19,21,21,36,26,27,54,23,31,38,40,26,30
0,1,1,"70-74","140-159","4-4.9","70-74_1_0_1_140-159_4-4.9",35,22,21,20,21,23,27,20,16,18,17,29,21,22,44,20,26,31,34,22,25
0,1,1,"70-74","120-139","4-4.9","70-74_1_0_1_120-139_4-4.9",29,18,17,17,17,19,23,17,13,14,14,24,18,18,34,17,21,25,29,19,21
0,1,1,"70-74","<120","4-4.9","70-74_1_0_1_<120_4-4.9",24,15,14,14,14,16,20,14,11,12,12,19,15,15,27,14,17,20,25,16,17
0,1,1,"65-69",">=180","4-4.9","65-69_1_0_1_>=180_4-4.9",41,26,26,25,25,27,32,25,19,21,21,37,26,28,54,23,31,39,40,27,30
0,1,1,"65-69","160-179","4-4.9","65-69_1_0_1_160-179_4-4.9",35,21,21,20,21,23,27,20,15,17,17,29,21,22,42,20,25,31,34,22,25
0,1,1,"65-69","140-159","4-4.9","65-69_1_0_1_140-159_4-4.9",29,17,17,16,17,19,23,16,13,14,14,23,17,18,33,16,20,24,28,18,20
0,1,1,"65-69","120-139","4-4.9","65-69_1_0_1_120-139_4-4.9",23,14,14,13,13,15,19,13,10,11,11,18,14,14,25,14,16,19,24,15,17
0,1,1,"65-69","<120","4-4.9","65-69_1_0_1_<120_4-4.9",19,11,11,10,11,13,16,10,8,9,9,14,12,11,19,11,13,15,20,12,14
0,1,1,"60-64",">=180","4-4.9","60-64_1_0_1_>=180_4-4.9",35,22,21,21,21,23,28,21,16,18,18,31,22,23,43,20,26,32,35,23,25
0,1,1,"60-64","160-179","4-4.9","60-64_1_0_1_160-179_4-4.9",29,18,17,16,17,19,23,16,13,14,14,24,17,18,33,17,21,25,29,19,20
0,1,1,"60-64","140-159","4-4.9","60-64_1_0_1_140-159_4-4.9",23,14,13,13,13,15,19,13,10,11,11,18,14,14,24,14,16,19,23,15,17
0,1,1,"60-64","120-139","4-4.9","60-64_1_0_1_120-139_4-4.9",19,11,11,10,10,12,15,10,8,9,9,14,11,11,18,11,13,14,19,12,13
0,1,1,"60-64","<120","4-4.9","60-64_1_0_1_<120_4-4.9",15,9,8,8,8,10,12,8,6,7,7,11,9,8,13,9,10,11,16,10,11
0,1,1,"55-59",">=180","4-4.9","55-59_1_0_1_>=180_4-4.9",30,18,18,17,17,20,24,17,13,15,15,26,18,19,34,17,21,26,30,20,21
0,1,1,"55-59","160-179","4-4.9","55-59_1_0_1_160-179_4-4.9",24,14,14,13,13,16,19,13,10,11,12,19,14,14,25,14,17,20,24,16,17
0,1,1,"55-59","140-159","4-4.9","55-59_1_0_1_140-159_4-4.9",19,11,11,10,10,12,15,10,8,9,9,15,11,11,18,11,13,15,19,12,13
0,1,1,"55-59","120-139","4-4.9","55-59_1_0_1_120-139_4-4.9",15,8,8,8,8,10,12,8,6,7,7,11,9,8,13,9,10,11,15,10,11
0,1,1,"55-59","<120","4-4.9","55-59_1_0_1_<120_4-4.9",11,7,6,6,6,8,10,6,5,5,6,8,7,6,9,7,7,8,12,7,8
0,1,1,"50-54",">=180","4-4.9","50-54_1_0_1_>=180_4-4.9",25,15,15,14,14,16,20,14,11,12,13,22,15,15,26,15,18,21,25,17,18
0,1,1,"50-54","160-179","4-4.9","50-54_1_0_1_160-179_4-4.9",19,12,11,11,11,13,16,11,8,9,10,16,12,11,18,12,13,15,20,13,14
0,1,1,"50-54","140-159","4-4.9","50-54_1_0_1_140-159_4-4.9",15,9,9,8,8,10,12,8,6,7,7,11,9,8,13,9,10,11,16,10,11
0,1,1,"50-54","120-139","4-4.9","50-54_1_0_1_120-139_4-4.9",11,7,6,6,6,8,10,6,5,5,6,8,7,6,9,7,7,8,12,8,8
0,1,1,"50-54","<120","4-4.9","50-54_1_0_1_<120_4-4.9",9,5,5,4,5,6,8,4,4,4,4,6,5,4,6,6,6,6,10,6,7
0,1,1,"45-49",">=180","4-4.9","45-49_1_0_1_>=180_4-4.9",21,13,12,12,12,14,17,12,9,10,11,18,13,13,20,13,14,17,22,14,15
0,1,1,"45-49","160-179","4-4.9","45-49_1_0_1_160-179_4-4.9",16,9,9,9,9,10,13,9,7,7,8,13,9,9,14,10,11,12,17,11,11
0,1,1,"45-49","140-159","4-4.9","45-49_1_0_1_140-159_4-4.9",12,7,7,6,6,8,10,6,5,6,6,9,7,6,9,8,8,8,13,8,9
0,1,1,"45-49","120-139","4-4.9","45-49_1_0_1_120-139_4-4.9",9,5,5,5,5,6,8,5,4,4,4,6,5,5,6,6,6,6,10,6,7
0,1,1,"45-49","<120","4-4.9","45-49_1_0_1_<120_4-4.9",7,4,4,3,3,5,6,3,3,3,3,4,4,3,4,5,4,4,7,5,5
0,1,1,"40-44",">=180","4-4.9","40-44_1_0_1_>=180_4-4.9",18,10,10,10,10,11,14,10,8,8,9,15,10,10,16,11,12,14,18,12,12
0,1,1,"40-44","160-179","4-4.9","40-44_1_0_1_160-179_4-4.9",13,8,7,7,7,9,11,7,6,6,7,10,8,7,10,8,8,9,14,9,9
0,1,1,"40-44","140-159","4-4.9","40-44_1_0_1_140-159_4-4.9",9,5,5,5,5,6,8,5,4,4,5,7,6,5,7,6,6,6,10,7,7
0,1,1,"40-44","120-139","4-4.9","40-44_1_0_1_120-139_4-4.9",7,4,4,4,4,5,6,4,3,3,4,5,4,3,4,5,4,4,8,5,5
0,1,1,"40-44","<120","4-4.9","40-44_1_0_1_<120_4-4.9",5,3,3,3,3,4,5,3,2,2,3,3,3,2,3,4,3,3,6,3,4
0,1,1,"70-74",">=180","5-5.9","70-74_1_0_1_>=180_5-5.9",52,34,33,32,33,35,41,33,25,28,26,46,34,36,73,29,41,51,49,33,38
0,1,1,"70-74","160-179","5-5.9","70-74_1_0_1_160-179_5-5.9",45,28,28,27,28,30,35,27,21,24,22,38,28,30,62,25,34,42,43,28,32
0,1,1,"70-74","140-159","5-5.9","70-74_1_0_1_140-159_5-5.9",38,24,23,22,23,25,30,23,17,20,19,31,24,25,51,21,29,35,37,24,27
0,1,1,"70-74","120-139","5-5.9","70-74_1_0_1_120-139_5-5.9",32,20,19,18,19,21,25,19,14,16,16,25,20,20,40,18,24,28,32,20,23
0,1,1,"70-74","<120","5-5.9","70-74_1_0_1_<120_5-5.9",27,16,16,15,15,18,21,15,12,13,13,21,17,16,32,15,19,23,27,17,19
0,1,1,"65-69",">=180","5-5.9","65-69_1_0_1_>=180_5-5.9",45,29,28,27,28,30,35,28,21,24,23,39,29,31,62,25,35,43,43,29,33
0,1,1,"65-69","160-179","5-5.9","65-69_1_0_1_160-179_5-5.9",38,24,23,22,23,25,30,23,17,19,19,31,24,25,50,21,28,35,37,24,27
0,1,1,"65-69","140-159","5-5.9","65-69_1_0_1_140-159_5-5.9",32,19,19,18,18,21,25,18,14,16,15,25,20,20,39,18,23,28,31,20,23
0,1,1,"65-69","120-139","5-5.9","65-69_1_0_1_120-139_5-5.9",26,16,15,14,15,17,21,15,11,13,12,20,16,15,30,15,19,22,26,16,19
0,1,1,"65-69","<120","5-5.9","65-69_1_0_1_<120_5-5.9",21,13,12,12,12,14,17,12,9,10,10,16,13,12,23,13,15,17,22,13,15
0,1,1,"60-64",">=180","5-5.9","60-64_1_0_1_>=180_5-5.9",39,25,24,23,24,26,31,23,18,20,19,33,24,26,51,22,29,36,38,25,28
0,1,1,"60-64","160-179","5-5.9","60-64_1_0_1_160-179_5-5.9",32,20,19,18,19,21,25,19,14,16,16,26,20,20,40,18,23,28,32,20,23
0,1,1,"60-64","140-159","5-5.9","60-64_1_0_1_140-159_5-5.9",26,16,15,14,15,17,21,15,11,13,12,20,16,15,30,15,19,22,26,16,19
0,1,1,"60-64","120-139","5-5.9","60-64_1_0_1_120-139_5-5.9",21,12,12,11,12,14,17,12,9,10,10,15,13,12,22,12,15,17,21,13,15
0,1,1,"60-64","<120","5-5.9","60-64_1_0_1_<120_5-5.9",17,10,9,9,9,11,14,9,7,8,8,12,10,9,16,10,11,13,17,10,12
0,1,1,"55-59",">=180","5-5.9","55-59_1_0_1_>=180_5-5.9",34,21,20,19,20,22,26,20,15,17,16,28,21,21,41,19,25,30,33,21,24
0,1,1,"55-59","160-179","5-5.9","55-59_1_0_1_160-179_5-5.9",27,16,16,15,15,18,21,15,12,13,13,21,16,16,31,15,19,23,27,17,19
0,1,1,"55-59","140-159","5-5.9","55-59_1_0_1_140-159_5-5.9",21,13,12,12,12,14,17,12,9,10,10,16,13,12,22,13,15,17,22,13,15
0,1,1,"55-59","120-139","5-5.9","55-59_1_0_1_120-139_5-5.9",17,10,9,9,9,11,14,9,7,8,8,12,10,9,16,10,11,13,17,10,12
0,1,1,"55-59","<120","5-5.9","55-59_1_0_1_<120_5-5.9",13,7,7,7,7,9,11,7,6,6,6,9,8,7,11,8,9,9,14,8,10
0,1,1,"50-54",">=180","5-5.9","50-54_1_0_1_>=180_5-5.9",29,17,17,16,17,19,23,16,13,14,14,23,17,18,33,16,20,24,28,18,20
0,1,1,"50-54","160-179","5-5.9","50-54_1_0_1_160-179_5-5.9",22,13,13,12,13,15,18,12,10,11,11,17,14,13,23,13,16,18,23,14,16
0,1,1,"50-54","140-159","5-5.9","50-54_1_0_1_140-159_5-5.9",17,10,10,9,9,11,14,9,7,8,8,12,10,10,16,10,12,13,18,11,13
0,1,1,"50-54","120-139","5-5.9","50-54_1_0_1_120-139_5-5.9",13,8,7,7,7,9,11,7,6,6,6,9,8,7,11,8,9,9,14,8,10
0,1,1,"50-54","<120","5-5.9","50-54_1_0_1_<120_5-5.9",10,6,6,5,5,7,9,5,4,5,5,6,6,5,8,7,7,7,11,6,8
0,1,1,"45-49",">=180","5-5.9","45-49_1_0_1_>=180_5-5.9",24,15,14,13,14,16,19,14,11,12,12,19,15,14,26,14,17,20,24,16,17
0,1,1,"45-49","160-179","5-5.9","45-49_1_0_1_160-179_5-5.9",18,11,11,10,10,12,15,10,8,9,9,14,11,10,18,11,13,14,19,12,13
0,1,1,"45-49","140-159","5-5.9","45-49_1_0_1_140-159_5-5.9",14,8,8,7,7,9,12,7,6,7,7,10,8,7,12,9,9,10,15,9,10
0,1,1,"45-49","120-139","5-5.9","45-49_1_0_1_120-139_5-5.9",11,6,6,5,6,7,9,5,5,5,5,7,6,5,8,7,7,7,11,7,8
0,1,1,"45-49","<120","5-5.9","45-49_1_0_1_<120_5-5.9",8,4,4,4,4,5,7,4,3,4,4,5,5,4,5,5,5,5,9,5,6
0,1,1,"40-44",">=180","5-5.9","40-44_1_0_1_>=180_5-5.9",20,12,12,11,11,13,17,11,9,10,10,16,12,12,20,12,14,16,21,13,15
0,1,1,"40-44","160-179","5-5.9","40-44_1_0_1_160-179_5-5.9",15,9,9,8,8,10,13,8,7,7,7,11,9,8,13,9,10,11,16,10,11
0,1,1,"40-44","140-159","5-5.9","40-44_1_0_1_140-159_5-5.9",11,6,6,6,6,8,10,6,5,5,5,8,7,6,9,7,7,8,12,7,8
0,1,1,"40-44","120-139","5-5.9","40-44_1_0_1_120-139_5-5.9",8,5,5,4,4,6,7,4,4,4,4,5,5,4,6,5,5,5,9,5,6
0,1,1,"40-44","<120","5-5.9","40-44_1_0_1_<120_5-5.9",6,3,3,3,3,4,6,3,3,3,3,4,4,3,4,4,4,4,7,4,5
0,1,1,"70-74",">=180","6-6.9","70-74_1_0_1_>=180_6-6.9",56,37,36,35,36,38,44,36,27,31,29,49,37,40,81,32,45,55,53,35,41
0,1,1,"70-74","160-179","6-6.9","70-74_1_0_1_160-179_6-6.9",48,31,30,30,31,33,38,30,23,26,24,41,31,33,70,27,38,47,46,30,35
0,1,1,"70-74","140-159","6-6.9","70-74_1_0_1_140-159_6-6.9",42,26,25,25,25,28,32,25,19,22,20,34,27,27,58,23,32,38,40,26,30
0,1,1,"70-74","120-139","6-6.9","70-74_1_0_1_120-139_6-6.9",35,22,21,20,21,23,28,21,16,18,17,27,22,22,47,20,26,31,34,21,25
0,1,1,"70-74","<120","6-6.9","70-74_1_0_1_<120_6-6.9",30,18,17,17,17,20,24,17,13,15,14,22,18,18,37,17,22,25,29,18,21
0,1,1,"65-69",">=180","6-6.9","65-69_1_0_1_>=180_6-6.9",49,32,31,30,31,33,38,31,23,27,25,42,32,34,71,28,39,48,47,31,36
0,1,1,"65-69","160-179","6-6.9","65-69_1_0_1_160-179_6-6.9",42,26,25,25,26,28,33,25,19,22,20,34,27,27,59,23,32,39,40,26,30
0,1,1,"65-69","140-159","6-6.9","65-69_1_0_1_140-159_6-6.9",35,21,21,20,21,23,27,21,16,18,17,27,22,22,47,20,26,31,34,21,25
0,1,1,"65-69","120-139","6-6.9","65-69_1_0_1_120-139_6-6.9",29,17,17,16,17,19,23,17,13,14,14,22,18,17,36,17,21,25,29,18,21
0,1,1,"65-69","<120","6-6.9","65-69_1_0_1_<120_6-6.9",24,14,14,13,13,16,19,13,10,12,11,17,15,14,27,14,17,19,24,14,17
0,1,1,"60-64",">=180","6-6.9","60-64_1_0_1_>=180_6-6.9",43,27,27,26,27,29,34,26,20,23,21,36,28,29,61,24,33,41,42,27,31
0,1,1,"60-64","160-179","6-6.9","60-64_1_0_1_160-179_6-6.9",36,22,21,21,21,24,28,21,16,18,17,28,23,23,48,20,27,32,35,22,26
0,1,1,"60-64","140-159","6-6.9","60-64_1_0_1_140-159_6-6.9",29,18,17,16,17,19,23,17,13,15,14,22,18,18,37,17,21,25,29,18,21
0,1,1,"60-64","120-139","6-6.9","60-64_1_0_1_120-139_6-6.9",24,14,14,13,13,16,19,13,10,12,11,17,15,14,27,14,17,19,24,14,17
0,1,1,"60-64","<120","6-6.9","60-64_1_0_1_<120_6-6.9",19,11,11,10,10,13,16,10,8,9,9,13,12,10,20,11,13,15,20,11,14
0,1,1,"55-59",">=180","6-6.9","55-59_1_0_1_>=180_6-6.9",38,23,23,22,23,25,29,22,17,19,18,30,24,24,51,21,28,34,37,23,27
0,1,1,"55-59","160-179","6-6.9","55-59_1_0_1_160-179_6-6.9",30,18,18,17,18,20,24,17,13,15,14,23,19,18,38,17,22,26,30,19,22
0,1,1,"55-59","140-159","6-6.9","55-59_1_0_1_140-159_6-6.9",24,14,14,13,14,16,20,14,11,12,11,17,15,14,28,14,17,20,24,15,18
0,1,1,"55-59","120-139","6-6.9","55-59_1_0_1_120-139_6-6.9",19,11,11,10,11,13,16,10,8,9,9,13,12,11,20,11,13,15,20,12,14
0,1,1,"55-59","<120","6-6.9","55-59_1_0_1_<120_6-6.9",15,9,8,8,8,10,13,8,6,7,7,10,9,8,14,9,10,11,16,9,11
0,1,1,"50-54",">=180","6-6.9","50-54_1_0_1_>=180_6-6.9",33,20,19,19,19,22,26,19,14,16,16,25,20,20,42,18,24,29,32,20,23
0,1,1,"50-54","160-179","6-6.9","50-54_1_0_1_160-179_6-6.9",26,15,15,14,15,17,21,14,11,13,12,19,16,15,30,15,18,21,26,16,18
0,1,1,"50-54","140-159","6-6.9","50-54_1_0_1_140-159_6-6.9",20,12,11,11,11,13,16,11,9,10,9,14,12,11,21,12,14,16,20,12,15
0,1,1,"50-54","120-139","6-6.9","50-54_1_0_1_120-139_6-6.9",16,9,9,8,8,10,13,8,7,7,7,10,9,8,15,9,11,11,16,9,12
0,1,1,"50-54","<120","6-6.9","50-54_1_0_1_<120_6-6.9",12,7,7,6,6,8,10,6,5,6,6,7,7,6,10,7,8,8,13,7,9
0,1,1,"45-49",">=180","6-6.9","45-49_1_0_1_>=180_6-6.9",28,17,16,16,16,18,22,16,12,14,13,21,17,17,34,16,20,24,28,17,20
0,1,1,"45-49","160-179","6-6.9","45-49_1_0_1_160-179_6-6.9",22,13,12,12,12,14,18,12,9,10,10,15,13,12,23,13,15,17,22,13,16
0,1,1,"45-49","140-159","6-6.9","45-49_1_0_1_140-159_6-6.9",17,9,9,9,9,11,14,9,7,8,8,11,10,9,16,10,11,12,17,10,12
0,1,1,"45-49","120-139","6-6.9","45-49_1_0_1_120-139_6-6.9",13,7,7,6,7,8,11,7,5,6,6,8,8,6,11,8,8,9,13,8,10
0,1,1,"45-49","<120","6-6.9","45-49_1_0_1_<120_6-6.9",10,5,5,5,5,6,8,5,4,4,4,5,6,4,7,6,6,6,10,6,7
0,1,1,"40-44",">=180","6-6.9","40-44_1_0_1_>=180_6-6.9",24,14,14,13,14,16,19,13,10,12,11,18,15,14,27,14,17,19,24,15,17
0,1,1,"40-44","160-179","6-6.9","40-44_1_0_1_160-179_6-6.9",18,10,10,10,10,12,15,10,8,9,8,12,11,10,18,11,12,14,19,11,13
0,1,1,"40-44","140-159","6-6.9","40-44_1_0_1_140-159_6-6.9",14,8,7,7,7,9,11,7,6,6,6,8,8,7,12,8,9,10,14,8,10
0,1,1,"40-44","120-139","6-6.9","40-44_1_0_1_120-139_6-6.9",10,6,5,5,5,7,9,5,4,5,5,6,6,5,8,6,7,7,11,6,8
0,1,1,"40-44","<120","6-6.9","40-44_1_0_1_<120_6-6.9",8,4,4,4,4,5,7,4,3,3,3,4,5,3,5,5,5,5,8,5,6
0,1,1,"70-74",">=180",">=7","70-74_1_0_1_>=180_>=7",60,40,39,39,40,42,47,40,30,35,31,52,41,44,87,34,49,60,56,38,44
0,1,1,"70-74","160-179",">=7","70-74_1_0_1_160-179_>=7",52,34,33,33,34,36,41,33,25,29,26,44,35,37,78,30,42,51,50,32,38
0,1,1,"70-74","140-159",">=7","70-74_1_0_1_140-159_>=7",45,29,28,27,28,30,35,28,21,24,22,36,29,30,66,25,35,43,43,27,33
0,1,1,"70-74","120-139",">=7","70-74_1_0_1_120-139_>=7",39,24,23,23,23,26,30,23,18,20,18,30,25,25,55,22,29,35,37,23,28
0,1,1,"70-74","<120",">=7","70-74_1_0_1_<120_>=7",33,20,19,19,19,22,26,19,15,17,15,24,21,20,44,18,24,29,32,19,23
0,1,1,"65-69",">=180",">=7","65-69_1_0_1_>=180_>=7",54,35,34,34,35,37,42,34,26,30,27,45,36,38,80,30,43,53,51,33,39
0,1,1,"65-69","160-179",">=7","65-69_1_0_1_160-179_>=7",46,29,28,28,29,31,36,28,21,25,22,37,30,31,68,26,36,44,44,28,33
0,1,1,"65-69","140-159",">=7","65-69_1_0_1_140-159_>=7",39,24,23,23,23,26,30,23,18,20,18,30,25,25,55,22,30,35,37,23,28
0,1,1,"65-69","120-139",">=7","65-69_1_0_1_120-139_>=7",32,20,19,18,19,22,26,19,14,16,15,24,20,20,44,18,24,28,32,19,23
0,1,1,"65-69","<120",">=7","65-69_1_0_1_<120_>=7",27,16,15,15,15,18,21,15,12,13,12,19,17,16,33,15,19,22,27,16,19
0,1,1,"60-64",">=180",">=7","60-64_1_0_1_>=180_>=7",48,31,30,29,30,32,37,30,23,26,23,39,32,33,71,27,38,46,46,29,35
0,1,1,"60-64","160-179",">=7","60-64_1_0_1_160-179_>=7",40,25,24,23,24,27,31,24,18,21,19,31,26,26,58,22,31,37,38,24,29
0,1,1,"60-64","140-159",">=7","60-64_1_0_1_140-159_>=7",33,20,19,19,19,22,26,19,15,17,15,24,21,20,45,19,25,29,32,19,24
0,1,1,"60-64","120-139",">=7","60-64_1_0_1_120-139_>=7",27,16,15,15,15,18,21,15,12,13,12,19,17,16,34,15,20,22,27,16,19
0,1,1,"60-64","<120",">=7","60-64_1_0_1_<120_>=7",22,13,12,12,12,15,18,12,9,11,10,14,14,12,25,13,16,17,22,13,16
0,1,1,"55-59",">=180",">=7","55-59_1_0_1_>=180_>=7",42,27,26,25,26,28,33,26,19,22,20,33,27,28,62,24,33,39,41,26,30
0,1,1,"55-59","160-179",">=7","55-59_1_0_1_160-179_>=7",35,21,20,20,20,23,27,20,15,18,16,25,22,21,48,19,26,31,34,20,25
0,1,1,"55-59","140-159",">=7","55-59_1_0_1_140-159_>=7",28,17,16,16,16,19,22,16,12,14,13,19,18,16,36,16,20,23,28,16,20
0,1,1,"55-59","120-139",">=7","55-59_1_0_1_120-139_>=7",22,13,13,12,12,15,18,12,10,11,10,14,14,12,26,13,16,18,22,13,16
0,1,1,"55-59","<120",">=7","55-59_1_0_1_<120_>=7",18,10,10,9,10,12,15,9,7,8,8,11,11,9,18,10,12,13,18,10,13
0,1,1,"50-54",">=180",">=7","50-54_1_0_1_>=180_>=7",37,23,22,22,22,25,29,22,17,19,18,28,24,23,52,21,28,34,36,22,27
0,1,1,"50-54","160-179",">=7","50-54_1_0_1_160-179_>=7",30,18,17,17,17,20,24,17,13,15,14,21,19,18,39,17,22,25,29,17,21
0,1,1,"50-54","140-159",">=7","50-54_1_0_1_140-159_>=7",24,14,13,13,13,16,19,13,10,11,11,15,15,13,28,13,17,19,23,14,17
0,1,1,"50-54","120-139",">=7","50-54_1_0_1_120-139_>=7",18,10,10,10,10,12,15,10,8,9,8,11,11,10,19,11,13,14,19,11,14
0,1,1,"50-54","<120",">=7","50-54_1_0_1_<120_>=7",14,8,8,7,8,10,12,7,6,7,6,8,9,7,13,8,10,10,15,8,11
0,1,1,"45-49",">=180",">=7","45-49_1_0_1_>=180_>=7",33,20,19,19,19,22,26,19,14,17,15,24,21,20,44,18,24,28,32,19,23
0,1,1,"45-49","160-179",">=7","45-49_1_0_1_160-179_>=7",25,15,14,14,14,17,20,14,11,12,12,17,16,14,31,14,18,21,25,15,18
0,1,1,"45-49","140-159",">=7","45-49_1_0_1_140-159_>=7",20,11,11,10,11,13,16,11,8,9,9,12,12,10,22,11,14,15,20,11,14
0,1,1,"45-49","120-139",">=7","45-49_1_0_1_120-139_>=7",15,8,8,8,8,10,13,8,6,7,7,9,9,8,15,9,10,11,16,9,11
0,1,1,"45-49","<120",">=7","45-49_1_0_1_<120_>=7",12,6,6,6,6,8,10,6,5,5,5,6,7,5,10,7,8,8,12,7,9
0,1,1,"40-44",">=180",">=7","40-44_1_0_1_>=180_>=7",28,17,16,16,16,19,23,16,12,14,13,20,18,17,36,16,21,24,28,17,20
0,1,1,"40-44","160-179",">=7","40-44_1_0_1_160-179_>=7",22,13,12,12,12,14,18,12,9,10,10,14,13,12,25,12,15,17,22,13,16
0,1,1,"40-44","140-159",">=7","40-44_1_0_1_140-159_>=7",16,9,9,9,9,11,14,9,7,8,7,10,10,8,16,10,11,12,17,9,12
0,1,1,"40-44","120-139",">=7","40-44_1_0_1_120-139_>=7",12,7,7,6,6,8,11,6,5,6,6,7,8,6,11,7,8,8,13,7,10
0,1,1,"40-44","<120",">=7","40-44_1_0_1_<120_>=7",9,5,5,5,5,6,8,5,4,4,4,5,6,4,7,6,6,6,10,5,7
0,0,0,"70-74",">=180","<4","70-74_0_0_0_>=180_<4",29,21,16,18,18,16,22,17,12,14,13,26,18,18,33,16,20,29,33,20,18
0,0,0,"70-74","160-179","<4","70-74_0_0_0_160-179_<4",26,18,14,15,15,13,18,15,11,12,11,22,15,16,26,13,16,22,27,17,14
0,0,0,"70-74","140-159","<4","70-74_0_0_0_140-159_<4",22,15,12,13,13,11,15,12,9,10,9,19,13,13,20,11,12,17,22,14,11
0,0,0,"70-74","120-139","<4","70-74_0_0_0_120-139_<4",19,12,10,11,11,9,13,10,8,9,8,16,11,11,16,9,10,14,18,12,9
0,0,0,"70-74","<120","<4","70-74_0_0_0_<120_<4",16,10,8,9,9,7,10,9,7,7,7,13,9,9,12,8,8,10,15,10,7
0,0,0,"65-69",">=180","<4","65-69_0_0_0_>=180_<4",23,16,12,14,14,12,16,13,10,11,10,20,14,14,22,12,14,19,24,15,13
0,0,0,"65-69","160-179","<4","65-69_0_0_0_160-179_<4",20,13,10,12,11,9,13,11,8,9,8,17,12,12,17,10,10,15,19,13,10
0,0,0,"65-69","140-159","<4","65-69_0_0_0_140-159_<4",17,10,9,10,9,7,11,9,7,7,7,14,10,9,13,8,8,11,15,11,8
0,0,0,"65-69","120-139","<4","65-69_0_0_0_120-139_<4",14,8,7,8,8,6,9,7,6,6,6,11,8,8,10,6,6,8,12,9,6
0,0,0,"65-69","<120","<4","65-69_0_0_0_<120_<4",12,7,6,6,6,4,7,6,5,5,5,9,7,6,7,5,5,6,10,7,5
0,0,0,"60-64",">=180","<4","60-64_0_0_0_>=180_<4",19,12,10,11,10,8,12,10,7,8,8,16,11,11,15,9,9,13,17,12,9
0,0,0,"60-64","160-179","<4","60-64_0_0_0_160-179_<4",15,9,8,9,8,6,10,8,6,7,6,13,9,9,11,7,7,9,14,10,7
0,0,0,"60-64","140-159","<4","60-64_0_0_0_140-159_<4",13,7,6,7,7,5,8,7,5,5,5,10,7,7,8,6,5,7,10,8,5
0,0,0,"60-64","120-139","<4","60-64_0_0_0_120-139_<4",11,6,5,6,5,4,6,5,4,4,4,8,6,5,6,4,4,5,8,7,4
0,0,0,"60-64","<120","<4","60-64_0_0_0_<120_<4",9,5,4,5,4,3,5,4,3,4,4,7,5,4,5,3,3,4,6,5,3
0,0,0,"55-59",">=180","<4","55-59_0_0_0_>=180_<4",15,9,7,8,8,6,9,8,6,6,6,12,8,8,10,7,6,9,13,9,6
0,0,0,"55-59","160-179","<4","55-59_0_0_0_160-179_<4",12,7,6,6,6,4,7,6,5,5,5,10,7,6,7,5,5,6,10,8,5
0,0,0,"55-59","140-159","<4","55-59_0_0_0_140-159_<4",10,5,5,5,5,3,5,5,4,4,4,8,5,5,5,4,3,4,7,6,3
0,0,0,"55-59","120-139","<4","55-59_0_0_0_120-139_<4",8,4,4,4,4,2,4,4,3,3,3,6,4,4,4,3,2,3,5,5,2
0,0,0,"55-59","<120","<4","55-59_0_0_0_<120_<4",6,3,3,3,3,2,3,3,2,3,3,5,3,3,3,2,2,2,4,4,2
0,0,0,"50-54",">=180","<4","50-54_0_0_0_>=180_<4",11,6,6,6,6,4,7,6,5,5,5,10,6,6,7,5,4,6,9,7,4
0,0,0,"50-54","160-179","<4","50-54_0_0_0_160-179_<4",9,5,4,5,5,3,5,4,4,4,4,7,5,5,5,4,3,4,7,6,3
0,0,0,"50-54","140-159","<4","50-54_0_0_0_140-159_<4",7,4,3,4,3,2,4,3,3,3,3,6,4,4,4,3,2,3,5,4,2
0,0,0,"50-54","120-139","<4","50-54_0_0_0_120-139_<4",6,3,3,3,3,2,3,3,2,2,2,4,3,3,3,2,1,2,4,3,2
0,0,0,"50-54","<120","<4","50-54_0_0_0_<120_<4",5,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,1,1,3,3,1
0,0,0,"45-49",">=180","<4","45-49_0_0_0_>=180_<4",9,5,4,5,5,3,5,4,4,4,4,8,5,5,5,4,3,4,7,6,3
0,0,0,"45-49","160-179","<4","45-49_0_0_0_160-179_<4",7,4,3,4,3,2,4,3,3,3,3,6,4,4,3,3,2,3,5,4,2
0,0,0,"45-49","140-159","<4","45-49_0_0_0_140-159_<4",5,3,2,3,2,2,3,3,2,2,2,4,3,3,2,2,1,2,3,3,1
